CGN-Phone,IPA,Vowel,Plosive,Fricative,Approximant,Nasal,Affricates,Bilabial,Palatal,Velar,Glottal,Labiodental,Dental,Alveolar,Postalveolar,Sum
46,1,114,32,37,13,29,21,24,13,4,1,2,2,9,5,
m,m,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
n,n,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
N,ŋ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
p,p,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
b,b,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
t,t,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
d,d,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
k,k,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
g,g,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
f,f,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
v,v,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
s,s,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
z,z,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
S,ʃ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Z,ʒ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
h,h,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
r,ɹ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
j,j,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
l,l,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
w,w,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3
i,i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
u,u,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I,ɪ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
@,ə,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E,ɛ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E~,ɛ̃,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E:,ɛː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O,ɔ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O:,ɔː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O~,ɔ̃,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
a,aː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A,ɑ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A~,ɑ̃,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E+,ɛi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Y+,œy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A+,ɑu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
J,ɲ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
x,x,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
G,ɣ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
y,y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Y,ʏ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Y~,ʏ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Y:,ʏː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e,eː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
o,oː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,øː,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
