MandarinPhone,IPA,Alveolar,Alveopalatal,Retroflex,Plosive,Vowel,Labiodental,Bilabial,Approximant,Glottal,Fricative,Velar,Nasal,Affricates
AA,ɑ,0,0,0,0,1,0,0,0,0,0,0,0,0
AE,æ,0,0,0,0,1,0,0,0,0,0,0,0,0
AH,ʌ,0,0,0,0,1,0,0,0,0,0,0,0,0
AO,ɔ,0,0,0,0,1,0,0,0,0,0,0,0,0
AW,aʊ,0,0,0,0,1,0,0,0,0,0,0,0,0
AY,aɪ,0,0,0,0,1,0,0,0,0,0,0,0,0
B,b,0,0,0,1,0,0,1,0,0,0,0,0,0
CH,tʃ,0,0,1,0,0,0,0,0,0,0,0,0,1
D,d,1,0,0,1,0,0,0,0,0,0,0,0,0
EH,ɛ,0,0,0,0,1,0,0,0,0,0,0,0,0
ER,ɝ,0,0,0,0,1,0,0,0,0,0,0,0,0
EY,eɪ,0,0,0,0,1,0,0,0,0,0,0,0,0
F,f,0,0,0,0,0,1,0,0,0,1,0,0,0
G,g,0,0,0,1,0,0,0,0,0,0,1,0,0
HH,h,0,0,0,0,0,0,0,0,1,1,0,0,0
IY,i,1,0,0,0,0,0,0,0,0,0,0,0,0
J,j,0,1,0,0,0,0,0,0,0,0,0,0,1
JH,jh,0,1,0,0,0,0,0,0,0,0,0,0,1
K,k,0,0,0,1,0,0,0,0,0,0,1,0,0
L,l,1,0,0,0,0,0,0,1,0,0,0,0,0
M,m,0,0,0,0,0,0,1,0,0,0,0,1,0
N,n,1,0,0,0,0,0,0,0,0,0,0,1,0
NG,ŋ,0,0,0,0,0,0,0,0,0,0,1,1,0
OW,oʊ,0,0,0,1,0,0,0,0,0,0,0,0,0
P,p,0,0,0,1,0,0,1,0,0,0,0,0,0
Q,q,0,1,0,0,0,0,0,0,0,1,0,0,0
R,ɹ,0,0,1,0,0,0,0,1,0,0,0,0,0
S,s,1,0,0,0,0,0,0,0,0,1,0,0,0
SH,ʃ,0,0,1,0,0,0,0,0,0,1,0,0,0
T,tʃ,1,0,0,1,0,0,0,0,0,0,0,0,0
UH,uh,1,0,0,0,0,0,0,0,0,0,0,0,0
UW,uw,1,0,0,0,0,0,0,0,0,0,0,0,0
W,w,0,0,0,0,0,0,1,1,0,0,0,0,0
X,x,0,1,0,0,0,0,0,0,0,1,0,0,0
Y,y,0,0,0,0,1,0,0,0,0,0,0,0,0
Z,z,1,0,0,0,0,0,0,0,0,0,0,0,1
